"Tabela 9537 - Pessoas de 10 anos ou mais de idade, por religião, segundo o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Brasil, Grande Região e Unidade da Federação";"Grupo de idade";"Ano x Religião x Sexo"
"Brasil, Grande Região e Unidade da Federação";"Grupo de idade";"2022"
"Brasil, Grande Região e Unidade da Federação";"Grupo de idade";"Católica Apostólica Romana";;"Evangélicas";;"Espírita";;"Umbanda e Candomblé";;"Tradições indígenas";;"Outras religiosidades";;"Sem religião";;"Não sabe";;"Sem declaração"
"Brasil, Grande Região e Unidade da Federação";"Grupo de idade";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres"
"Roraima";"60 a 69 anos";"8170";"7152";"4610";"6100";"80";"146";"41";"21";"179";"197";"891";"765";"1761";"1092";"10";"5";"31";"25"
"Roraima";"70 a 79 anos";"3944";"3046";"2114";"2587";"82";"80";"5";"22";"64";"65";"280";"437";"693";"289";"7";"10";"21";"1"
"Roraima";"80 anos ou mais";"1210";"1445";"842";"1025";"35";"23";"-";"13";"17";"5";"74";"153";"285";"187";"-";"-";"4";"12"
"Pará";"15 a 19 anos";"191214";"179337";"132326";"136133";"674";"786";"789";"1267";"199";"227";"8685";"8729";"34791";"29982";"91";"96";"443";"394"
"Pará";"20 a 24 anos";"187022";"175896";"116338";"129304";"770";"1036";"1169";"1293";"212";"173";"8972";"9122";"40663";"33490";"247";"146";"665";"419"
"Pará";"25 a 29 anos";"170802";"167204";"107811";"129910";"835";"611";"1538";"1457";"122";"137";"8110";"9377";"37470";"27465";"185";"55";"679";"413"
"Pará";"30 a 39 anos";"344353";"336341";"208703";"254647";"1833";"2578";"2661";"2301";"291";"173";"16053";"18309";"58738";"42407";"355";"179";"818";"522"
"Pará";"40 a 49 anos";"313265";"293675";"173244";"210750";"1966";"3004";"1914";"2048";"166";"184";"12758";"14777";"41590";"24358";"185";"45";"468";"412"
"Pará";"50 a 59 anos";"231995";"215778";"113514";"143252";"2005";"2476";"1009";"1224";"101";"70";"8333";"9832";"23153";"10835";"115";"79";"294";"199"
"Pará";"60 a 69 anos";"162014";"153321";"67885";"90139";"1629";"2062";"671";"717";"45";"23";"5004";"5822";"13165";"5322";"69";"14";"197";"158"
"Pará";"70 a 79 anos";"81311";"82630";"33032";"44057";"571";"941";"129";"341";"23";"21";"2339";"2715";"5257";"2295";"14";"8";"49";"37"
"Pará";"80 anos ou mais";"31872";"43677";"13645";"19163";"164";"256";"34";"52";"43";"12";"875";"1263";"1881";"1066";"12";"-";"62";"21"
"Amapá";"15 a 19 anos";"16659";"15034";"12695";"13490";"49";"105";"163";"304";"81";"96";"1040";"1149";"3357";"3081";"165";"3";"37";"39"
"Amapá";"20 a 24 anos";"16639";"15889";"11960";"13250";"112";"83";"239";"128";"60";"71";"1078";"1118";"4360";"4140";"633";"116";"50";"44"
"Amapá";"25 a 29 anos";"14581";"14708";"10210";"12619";"183";"209";"295";"232";"50";"48";"1262";"1349";"3692";"3102";"727";"2";"16";"66"
"Amapá";"30 a 39 anos";"29792";"30475";"18213";"22437";"233";"393";"170";"161";"66";"60";"1471";"1808";"5536";"3551";"604";"19";"63";"50"
"Amapá";"40 a 49 anos";"24717";"24656";"15264";"19125";"195";"347";"313";"388";"48";"49";"1788";"1940";"3255";"2034";"274";"37";"53";"49"
"Amapá";"50 a 59 anos";"18191";"17420";"9426";"11855";"244";"350";"73";"122";"22";"23";"975";"953";"2059";"1007";"67";"-";"37";"22"
"Amapá";"60 a 69 anos";"11535";"11084";"5129";"6715";"68";"196";"75";"24";"11";"12";"436";"612";"930";"415";"20";"-";"29";"16"
"Amapá";"70 a 79 anos";"5279";"5311";"2332";"3015";"62";"18";"-";"-";"13";"4";"170";"224";"421";"124";"-";"11";"7";"5"
"Amapá";"80 anos ou mais";"2062";"2802";"996";"1350";"15";"10";"-";"-";"5";"3";"96";"80";"135";"94";"-";"-";"2";"1"
"Tocantins";"15 a 19 anos";"35597";"33198";"19290";"21149";"220";"250";"61";"124";"344";"348";"1854";"1788";"5905";"4934";"31";"31";"94";"89"
"Tocantins";"20 a 24 anos";"34427";"33868";"17900";"19308";"226";"174";"133";"92";"299";"293";"1870";"2016";"6801";"5721";"16";"29";"88";"86"
"Tocantins";"25 a 29 anos";"33411";"32447";"15875";"19759";"262";"289";"105";"75";"230";"205";"1929";"2248";"6346";"4683";"26";"27";"77";"43"
"Tocantins";"30 a 39 anos";"67641";"65513";"32389";"42138";"465";"762";"246";"183";"400";"315";"3548";"3719";"9474";"6778";"52";"33";"167";"109"
"Tocantins";"40 a 49 anos";"66203";"60436";"29499";"38043";"518";"771";"133";"123";"212";"190";"2898";"3239";"7164";"4518";"25";"5";"106";"68"
"Tocantins";"50 a 59 anos";"50991";"46307";"20822";"27280";"488";"708";"112";"63";"111";"125";"1607";"2054";"4260";"2071";"7";"11";"59";"27"
"Tocantins";"60 a 69 anos";"36581";"31464";"11795";"17883";"464";"501";"64";"59";"69";"63";"985";"1081";"2513";"1082";"3";"4";"27";"39"
"Tocantins";"70 a 79 anos";"20227";"17821";"6943";"9017";"226";"208";"19";"12";"27";"50";"418";"438";"1228";"379";"12";"-";"12";"18"
"Tocantins";"80 anos ou mais";"9937";"9471";"3133";"3815";"93";"65";"14";"9";"31";"48";"165";"295";"391";"191";"3";"-";"3";"14"
"Maranhão";"15 a 19 anos";"197726";"182913";"76379";"83690";"272";"427";"797";"1061";"642";"589";"6237";"7133";"28711";"25761";"47";"48";"642";"547"
"Maranhão";"20 a 24 anos";"178684";"172545";"64672";"77839";"319";"498";"1346";"1160";"525";"543";"7080";"7393";"31762";"27472";"84";"72";"551";"573"
"Maranhão";"25 a 29 anos";"156848";"158866";"57538";"73632";"246";"492";"979";"1106";"366";"365";"6947";"7456";"28924";"22778";"72";"34";"520";"330"
"Maranhão";"30 a 39 anos";"333030";"337899";"114493";"157858";"808";"1534";"2056";"2164";"649";"611";"14187";"15349";"48244";"35386";"164";"56";"1101";"698"
