"Tabela 9537 - Pessoas de 10 anos ou mais de idade, por religião, segundo o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Brasil, Grande Região e Unidade da Federação";"Grupo de idade";"Ano x Religião x Sexo"
"Brasil, Grande Região e Unidade da Federação";"Grupo de idade";"2022"
"Brasil, Grande Região e Unidade da Federação";"Grupo de idade";"Católica Apostólica Romana";;"Evangélicas";;"Espírita";;"Umbanda e Candomblé";;"Tradições indígenas";;"Outras religiosidades";;"Sem religião";;"Não sabe";;"Sem declaração"
"Brasil, Grande Região e Unidade da Federação";"Grupo de idade";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres"
"Maranhão";"25 a 29 anos";"2,75";"2,78";"1,01";"1,29";"0,00";"0,01";"0,02";"0,02";"0,01";"0,01";"0,12";"0,13";"0,51";"0,40";"0,00";"0,00";"0,01";"0,01"
"Maranhão";"30 a 39 anos";"5,83";"5,91";"2,00";"2,76";"0,01";"0,03";"0,04";"0,04";"0,01";"0,01";"0,25";"0,27";"0,84";"0,62";"0,00";"0,00";"0,02";"0,01"
"Maranhão";"40 a 49 anos";"5,15";"5,03";"1,64";"2,29";"0,02";"0,03";"0,02";"0,03";"0,01";"0,01";"0,17";"0,21";"0,60";"0,40";"0,00";"0,00";"0,01";"0,01"
"Maranhão";"50 a 59 anos";"3,82";"3,82";"1,05";"1,72";"0,01";"0,02";"0,02";"0,02";"0,00";"0,00";"0,10";"0,14";"0,34";"0,19";"0,00";"0,00";"0,01";"0,01"
"Maranhão";"60 a 69 anos";"2,77";"2,76";"0,67";"1,15";"0,01";"0,01";"0,01";"0,01";"0,00";"0,00";"0,06";"0,09";"0,21";"0,10";"0,00";"0,00";"0,01";"0,00"
"Maranhão";"70 a 79 anos";"1,54";"1,58";"0,39";"0,61";"0,00";"0,01";"0,00";"0,01";"0,00";"0,00";"0,03";"0,04";"0,10";"0,05";"0,00";"-";"0,00";"0,00"
"Maranhão";"80 anos ou mais";"0,71";"0,88";"0,19";"0,30";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,01";"0,02";"0,04";"0,03";"0,00";"0,00";"0,00";"0,00"
"Piauí";"15 a 19 anos";"3,54";"3,33";"0,71";"0,76";"0,01";"0,01";"0,02";"0,03";"0,00";"-";"0,09";"0,07";"0,29";"0,24";"0,00";"-";"0,00";"0,00"
"Piauí";"20 a 24 anos";"3,44";"3,35";"0,68";"0,75";"0,01";"0,02";"0,04";"0,04";"-";"0,00";"0,08";"0,08";"0,33";"0,31";"0,00";"0,00";"0,01";"0,00"
"Piauí";"25 a 29 anos";"3,19";"3,19";"0,62";"0,74";"0,01";"0,02";"0,03";"0,03";"-";"0,00";"0,09";"0,09";"0,31";"0,23";"0,00";"0,00";"0,00";"0,00"
"Piauí";"30 a 39 anos";"6,78";"6,90";"1,21";"1,68";"0,03";"0,05";"0,04";"0,05";"-";"0,00";"0,17";"0,22";"0,52";"0,35";"0,00";"0,00";"0,01";"0,00"
"Piauí";"40 a 49 anos";"6,34";"6,37";"1,06";"1,55";"0,03";"0,05";"0,03";"0,04";"-";"0,00";"0,14";"0,18";"0,37";"0,24";"0,00";"0,00";"0,01";"0,01"
"Piauí";"50 a 59 anos";"4,98";"5,20";"0,74";"1,21";"0,02";"0,04";"0,01";"0,02";"0,00";"0,00";"0,09";"0,12";"0,25";"0,13";"0,00";"0,00";"0,00";"0,00"
"Piauí";"60 a 69 anos";"3,57";"3,89";"0,45";"0,83";"0,01";"0,02";"0,01";"0,01";"-";"-";"0,06";"0,09";"0,14";"0,07";"-";"-";"0,00";"0,00"
"Piauí";"70 a 79 anos";"2,16";"2,44";"0,26";"0,47";"0,01";"0,01";"0,00";"0,00";"0,00";"0,00";"0,03";"0,04";"0,06";"0,04";"0,00";"-";"0,00";"0,00"
"Piauí";"80 anos ou mais";"1,00";"1,34";"0,13";"0,22";"0,00";"0,00";"0,00";"0,00";"-";"-";"0,01";"0,02";"0,03";"0,02";"-";"0,00";"0,00";"0,00"
"Ceará";"15 a 19 anos";"2,92";"2,77";"0,91";"0,96";"0,02";"0,02";"0,02";"0,02";"0,00";"0,00";"0,12";"0,11";"0,34";"0,30";"0,00";"0,00";"0,00";"0,01"
"Ceará";"20 a 24 anos";"3,09";"2,99";"0,93";"1,06";"0,02";"0,02";"0,03";"0,02";"0,00";"0,00";"0,13";"0,13";"0,43";"0,36";"0,00";"0,00";"0,00";"0,00"
"Ceará";"25 a 29 anos";"3,04";"3,17";"0,98";"1,17";"0,02";"0,03";"0,02";"0,02";"0,00";"0,00";"0,12";"0,13";"0,41";"0,32";"0,00";"0,00";"0,01";"0,01"
"Ceará";"30 a 39 anos";"6,06";"6,36";"1,87";"2,33";"0,04";"0,06";"0,04";"0,04";"0,00";"0,00";"0,22";"0,26";"0,63";"0,47";"0,00";"0,00";"0,01";"0,01"
"Ceará";"40 a 49 anos";"5,57";"5,87";"1,47";"1,95";"0,05";"0,07";"0,03";"0,03";"0,00";"0,00";"0,19";"0,23";"0,43";"0,29";"0,00";"0,00";"0,01";"0,01"
"Ceará";"50 a 59 anos";"4,63";"5,05";"1,02";"1,52";"0,04";"0,06";"0,02";"0,02";"0,00";"0,00";"0,13";"0,18";"0,28";"0,15";"0,00";"0,00";"0,01";"0,00"
"Ceará";"60 a 69 anos";"3,20";"3,63";"0,54";"0,94";"0,03";"0,03";"0,01";"0,01";"0,00";"0,00";"0,08";"0,11";"0,17";"0,07";"0,00";"0,00";"0,00";"0,00"
"Ceará";"70 a 79 anos";"1,93";"2,33";"0,28";"0,52";"0,01";"0,01";"0,00";"0,00";"0,00";"0,00";"0,04";"0,05";"0,07";"0,04";"0,00";"0,00";"0,00";"0,00"
"Ceará";"80 anos ou mais";"0,95";"1,41";"0,13";"0,23";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,02";"0,03";"0,03";"0,02";"0,00";"0,00";"0,00";"0,00"
"Rio Grande do Norte";"15 a 19 anos";"2,78";"2,59";"0,90";"0,97";"0,02";"0,02";"0,01";"0,02";"-";"-";"0,13";"0,13";"0,47";"0,40";"0,00";"0,00";"0,01";"0,00"
"Rio Grande do Norte";"20 a 24 anos";"2,81";"2,63";"0,89";"1,09";"0,02";"0,02";"0,01";"0,02";"0,00";"0,00";"0,13";"0,15";"0,58";"0,47";"0,00";"0,00";"0,01";"0,01"
"Rio Grande do Norte";"25 a 29 anos";"2,72";"2,76";"0,90";"1,13";"0,03";"0,04";"0,02";"0,02";"0,00";"0,00";"0,15";"0,17";"0,54";"0,43";"0,00";"-";"0,01";"0,00"
"Rio Grande do Norte";"30 a 39 anos";"5,76";"5,98";"1,77";"2,36";"0,07";"0,10";"0,03";"0,04";"0,00";"0,00";"0,27";"0,30";"0,89";"0,64";"0,00";"0,00";"0,01";"0,01"
"Rio Grande do Norte";"40 a 49 anos";"5,41";"5,62";"1,55";"2,15";"0,08";"0,12";"0,03";"0,02";"0,00";"0,00";"0,23";"0,28";"0,64";"0,42";"0,00";"0,00";"0,01";"0,01"
"Rio Grande do Norte";"50 a 59 anos";"4,64";"4,97";"1,12";"1,71";"0,06";"0,10";"0,01";"0,02";"-";"0,00";"0,15";"0,19";"0,42";"0,25";"0,00";"0,00";"0,00";"0,00"
"Rio Grande do Norte";"60 a 69 anos";"3,26";"3,67";"0,55";"1,02";"0,05";"0,07";"0,00";"0,01";"0,00";"0,00";"0,09";"0,11";"0,25";"0,12";"0,00";"-";"0,00";"0,00"
"Rio Grande do Norte";"70 a 79 anos";"1,83";"2,26";"0,28";"0,59";"0,03";"0,03";"0,00";"0,00";"-";"0,00";"0,04";"0,05";"0,12";"0,05";"-";"-";"0,00";"0,00"
"Rio Grande do Norte";"80 anos ou mais";"0,89";"1,43";"0,14";"0,25";"0,01";"0,01";"0,00";"0,00";"0,00";"0,00";"0,02";"0,03";"0,05";"0,02";"-";"-";"0,00";"0,00"
"Paraíba";"15 a 19 anos";"2,92";"2,73";"0,90";"0,96";"0,01";"0,02";"0,01";"0,02";"0,00";"0,01";"0,15";"0,14";"0,40";"0,35";"0,00";"0,00";"0,00";"0,00"
"Paraíba";"20 a 24 anos";"2,88";"2,73";"0,85";"1,02";"0,02";"0,03";"0,02";"0,02";"0,00";"0,00";"0,15";"0,16";"0,48";"0,41";"0,00";"-";"0,00";"0,00"
"Paraíba";"25 a 29 anos";"2,71";"2,81";"0,84";"1,03";"0,02";"0,03";"0,02";"0,02";"0,00";"0,00";"0,17";"0,16";"0,44";"0,34";"0,00";"0,00";"0,00";"0,00"
"Paraíba";"30 a 39 anos";"5,76";"6,02";"1,66";"2,25";"0,05";"0,07";"0,03";"0,03";"0,01";"0,01";"0,30";"0,31";"0,73";"0,51";"0,00";"0,00";"0,01";"0,01"
"Paraíba";"40 a 49 anos";"5,54";"5,72";"1,56";"2,18";"0,06";"0,08";"0,02";"0,03";"0,00";"0,00";"0,26";"0,29";"0,53";"0,36";"0,00";"0,00";"0,00";"0,00"
"Paraíba";"50 a 59 anos";"4,61";"4,94";"1,06";"1,68";"0,04";"0,07";"0,01";"0,02";"0,00";"0,00";"0,16";"0,20";"0,34";"0,20";"0,00";"0,00";"0,01";"0,00"
"Paraíba";"60 a 69 anos";"3,29";"3,75";"0,56";"1,02";"0,03";"0,04";"0,01";"0,01";"0,00";"0,00";"0,09";"0,11";"0,21";"0,11";"0,00";"0,00";"0,00";"0,00"
"Paraíba";"70 a 79 anos";"1,98";"2,52";"0,30";"0,56";"0,01";"0,02";"0,00";"0,01";"0,00";"0,00";"0,04";"0,07";"0,09";"0,05";"-";"-";"0,00";"0,00"
"Paraíba";"80 anos ou mais";"1,00";"1,55";"0,11";"0,26";"0,01";"0,01";"0,00";"0,00";"0,00";"0,00";"0,02";"0,02";"0,04";"0,02";"-";"-";"0,00";"0,00"
"Pernambuco";"15 a 19 anos";"2,52";"2,41";"1,03";"1,09";"0,03";"0,03";"0,02";"0,02";"0,01";"0,01";"0,16";"0,16";"0,69";"0,60";"0,00";"0,00";"0,01";"0,01"
"Pernambuco";"20 a 24 anos";"2,53";"2,48";"0,99";"1,18";"0,03";"0,03";"0,02";"0,03";"0,01";"0,01";"0,20";"0,18";"0,77";"0,66";"0,00";"0,00";"0,01";"0,01"
"Pernambuco";"25 a 29 anos";"2,31";"2,42";"0,92";"1,20";"0,03";"0,04";"0,03";"0,03";"0,01";"0,00";"0,20";"0,20";"0,69";"0,57";"0,00";"0,00";"0,01";"0,01"
"Pernambuco";"30 a 39 anos";"4,84";"5,17";"1,91";"2,69";"0,08";"0,12";"0,05";"0,05";"0,01";"0,01";"0,36";"0,39";"1,17";"0,92";"0,00";"0,00";"0,02";"0,01"
"Pernambuco";"40 a 49 anos";"4,74";"4,99";"1,86";"2,69";"0,09";"0,15";"0,04";"0,05";"0,01";"0,01";"0,29";"0,34";"0,89";"0,65";"0,00";"0,00";"0,01";"0,01"
"Pernambuco";"50 a 59 anos";"3,83";"4,25";"1,34";"2,19";"0,09";"0,15";"0,02";"0,03";"0,00";"0,00";"0,19";"0,25";"0,58";"0,37";"0,00";"0,00";"0,01";"0,01"
"Pernambuco";"60 a 69 anos";"2,84";"3,30";"0,74";"1,41";"0,07";"0,12";"0,01";"0,01";"0,00";"0,00";"0,11";"0,16";"0,34";"0,19";"0,00";"0,00";"0,00";"0,00"
"Pernambuco";"70 a 79 anos";"1,59";"2,05";"0,37";"0,75";"0,03";"0,06";"0,01";"0,01";"0,00";"0,00";"0,05";"0,08";"0,14";"0,09";"0,00";"0,00";"0,00";"0,00"
"Pernambuco";"80 anos ou mais";"0,71";"1,16";"0,15";"0,34";"0,01";"0,02";"0,00";"0,00";"0,00";"0,00";"0,02";"0,04";"0,04";"0,04";"-";"0,00";"0,00";"0,00"
"Alagoas";"15 a 19 anos";"3,07";"2,84";"1,07";"1,16";"0,01";"0,02";"0,02";"0,02";"0,01";"0,01";"0,11";"0,11";"0,65";"0,60";"0,00";"0,00";"0,01";"0,01"
"Alagoas";"20 a 24 anos";"2,83";"2,92";"1,00";"1,21";"0,01";"0,02";"0,03";"0,03";"0,01";"0,01";"0,12";"0,12";"0,77";"0,60";"0,00";"0,00";"0,01";"0,01"
"Alagoas";"25 a 29 anos";"2,59";"2,83";"0,96";"1,23";"0,01";"0,03";"0,02";"0,03";"0,01";"0,01";"0,12";"0,13";"0,61";"0,52";"0,00";"0,00";"0,01";"0,01"
"Alagoas";"30 a 39 anos";"5,19";"5,73";"1,73";"2,47";"0,05";"0,08";"0,04";"0,04";"0,01";"0,01";"0,19";"0,25";"0,98";"0,77";"0,00";"0,00";"0,02";"0,01"
"Alagoas";"40 a 49 anos";"5,08";"5,45";"1,60";"2,37";"0,05";"0,10";"0,04";"0,04";"0,01";"0,01";"0,17";"0,21";"0,79";"0,53";"0,00";"0,00";"0,01";"0,01"
"Alagoas";"50 a 59 anos";"4,11";"4,50";"1,09";"1,83";"0,04";"0,06";"0,02";"0,02";"0,00";"0,01";"0,13";"0,17";"0,49";"0,31";"0,00";"0,00";"0,01";"0,01"
"Alagoas";"60 a 69 anos";"2,87";"3,32";"0,62";"1,10";"0,03";"0,05";"0,01";"0,01";"0,00";"0,00";"0,07";"0,10";"0,30";"0,15";"0,00";"0,00";"0,01";"0,00"
"Alagoas";"70 a 79 anos";"1,59";"1,96";"0,28";"0,53";"0,01";"0,03";"0,00";"0,01";"0,00";"0,00";"0,03";"0,05";"0,13";"0,07";"0,00";"-";"0,00";"0,00"
"Alagoas";"80 anos ou mais";"0,63";"0,99";"0,12";"0,21";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,01";"0,02";"0,04";"0,03";"-";"0,00";"0,00";"0,00"
"Sergipe";"15 a 19 anos";"2,98";"2,84";"0,83";"0,91";"0,02";"0,04";"0,03";"0,04";"0,00";"-";"0,13";"0,12";"0,60";"0,50";"0,00";"0,00";"0,01";"0,01"
"Sergipe";"20 a 24 anos";"2,92";"3,02";"0,77";"0,92";"0,02";"0,03";"0,05";"0,06";"0,00";"0,00";"0,12";"0,15";"0,71";"0,58";"0,00";"0,00";"0,01";"0,01"
"Sergipe";"25 a 29 anos";"2,81";"3,05";"0,72";"0,98";"0,03";"0,05";"0,06";"0,06";"0,00";"0,00";"0,13";"0,15";"0,63";"0,50";"0,00";"0,00";"0,01";"0,01"
"Sergipe";"30 a 39 anos";"5,73";"6,30";"1,40";"2,04";"0,07";"0,15";"0,07";"0,09";"0,00";"0,00";"0,24";"0,31";"1,03";"0,77";"0,00";"0,00";"0,01";"0,01"
"Sergipe";"40 a 49 anos";"5,43";"6,00";"1,32";"1,91";"0,10";"0,14";"0,05";"0,09";"0,00";"0,00";"0,20";"0,30";"0,79";"0,52";"0,00";"0,00";"0,02";"0,01"
"Sergipe";"50 a 59 anos";"4,45";"4,85";"0,89";"1,47";"0,06";"0,13";"0,03";"0,05";"0,00";"0,00";"0,15";"0,23";"0,49";"0,30";"0,00";"0,00";"0,01";"0,00"
"Sergipe";"60 a 69 anos";"2,97";"3,41";"0,46";"0,84";"0,05";"0,09";"0,01";"0,02";"0,00";"0,00";"0,08";"0,13";"0,30";"0,17";"0,00";"0,00";"0,00";"0,00"
"Sergipe";"70 a 79 anos";"1,58";"1,97";"0,25";"0,47";"0,02";"0,03";"0,00";"0,01";"0,00";"0,00";"0,05";"0,06";"0,13";"0,08";"0,00";"0,00";"0,00";"0,00"
"Sergipe";"80 anos ou mais";"0,69";"1,11";"0,08";"0,21";"0,01";"0,02";"0,00";"0,00";"-";"-";"0,02";"0,03";"0,04";"0,03";"0,00";"0,00";"0,00";"0,00"
"Bahia";"15 a 19 anos";"2,40";"2,23";"0,94";"1,04";"0,02";"0,02";"0,03";"0,05";"0,00";"0,00";"0,18";"0,19";"0,83";"0,75";"0,00";"0,00";"0,01";"0,01"
"Bahia";"20 a 24 anos";"2,32";"2,25";"0,87";"1,09";"0,02";"0,03";"0,05";"0,06";"0,00";"0,00";"0,18";"0,22";"0,91";"0,81";"0,01";"0,00";"0,01";"0,01"
"Bahia";"25 a 29 anos";"2,10";"2,18";"0,83";"1,13";"0,02";"0,03";"0,05";"0,06";"0,00";"0,00";"0,18";"0,21";"0,79";"0,69";"0,01";"0,00";"0,01";"0,00"
"Bahia";"30 a 39 anos";"4,64";"4,87";"1,79";"2,59";"0,06";"0,11";"0,10";"0,12";"0,00";"0,00";"0,36";"0,48";"1,40";"1,16";"0,01";"0,01";"0,01";"0,01"
"Bahia";"40 a 49 anos";"4,90";"4,84";"1,74";"2,51";"0,07";"0,14";"0,08";"0,11";"0,00";"0,00";"0,34";"0,48";"1,17";"0,88";"0,01";"0,01";"0,01";"0,01"
"Bahia";"50 a 59 anos";"4,06";"4,00";"1,19";"1,95";"0,07";"0,12";"0,05";"0,07";"0,00";"0,00";"0,25";"0,36";"0,71";"0,46";"0,00";"0,00";"0,01";"0,01"
"Bahia";"60 a 69 anos";"3,03";"3,10";"0,70";"1,26";"0,05";"0,10";"0,03";"0,05";"0,00";"0,00";"0,15";"0,25";"0,43";"0,24";"0,00";"0,00";"0,00";"0,00"
"Bahia";"70 a 79 anos";"1,76";"1,97";"0,37";"0,69";"0,02";"0,04";"0,01";"0,02";"0,00";"0,00";"0,08";"0,12";"0,20";"0,11";"0,00";"0,00";"0,00";"0,00"
"Bahia";"80 anos ou mais";"0,83";"1,20";"0,17";"0,34";"0,01";"0,02";"0,00";"0,01";"0,00";"0,00";"0,03";"0,07";"0,08";"0,06";"0,00";"0,00";"0,00";"0,00"
"Minas Gerais";"15 a 19 anos";"2,27";"2,14";"1,03";"1,08";"0,05";"0,06";"0,02";"0,03";"0,00";"0,00";"0,13";"0,12";"0,32";"0,28";"0,00";"0,00";"0,01";"0,00"
"Minas Gerais";"20 a 24 anos";"2,48";"2,37";"1,08";"1,21";"0,05";"0,08";"0,03";"0,04";"0,00";"0,00";"0,15";"0,15";"0,45";"0,34";"0,00";"0,00";"0,01";"0,00"
"Minas Gerais";"25 a 29 anos";"2,46";"2,40";"1,08";"1,25";"0,06";"0,09";"0,03";"0,04";"0,00";"0,00";"0,15";"0,16";"0,43";"0,31";"0,00";"0,00";"0,01";"0,00"
"Minas Gerais";"30 a 39 anos";"5,14";"5,13";"2,12";"2,53";"0,15";"0,21";"0,05";"0,06";"0,00";"0,00";"0,30";"0,33";"0,70";"0,49";"0,00";"0,00";"0,01";"0,01"
"Minas Gerais";"40 a 49 anos";"5,22";"5,24";"1,89";"2,37";"0,17";"0,25";"0,03";"0,05";"0,00";"0,00";"0,27";"0,31";"0,52";"0,36";"0,00";"0,00";"0,01";"0,00"
"Minas Gerais";"50 a 59 anos";"4,78";"4,89";"1,36";"1,88";"0,15";"0,24";"0,02";"0,03";"0,00";"0,00";"0,20";"0,24";"0,35";"0,22";"0,00";"0,00";"0,01";"0,00"
"Minas Gerais";"60 a 69 anos";"3,87";"4,10";"0,87";"1,32";"0,11";"0,18";"0,01";"0,02";"0,00";"0,00";"0,13";"0,17";"0,22";"0,12";"0,00";"0,00";"0,00";"0,00"
"Minas Gerais";"70 a 79 anos";"2,12";"2,47";"0,41";"0,66";"0,06";"0,08";"0,01";"0,01";"0,00";"0,00";"0,06";"0,08";"0,10";"0,05";"0,00";"0,00";"0,00";"0,00"
"Minas Gerais";"80 anos ou mais";"0,94";"1,42";"0,17";"0,31";"0,02";"0,04";"0,00";"0,00";"0,00";"0,00";"0,02";"0,04";"0,03";"0,02";"0,00";"0,00";"0,00";"0,00"
"Espírito Santo";"15 a 19 anos";"1,61";"1,50";"1,43";"1,47";"0,02";"0,02";"0,01";"0,02";"0,00";"0,00";"0,17";"0,16";"0,64";"0,59";"0,00";"0,00";"0,01";"0,00"
"Espírito Santo";"20 a 24 anos";"1,68";"1,67";"1,41";"1,51";"0,03";"0,03";"0,02";"0,03";"0,00";"0,00";"0,18";"0,18";"0,84";"0,69";"0,00";"0,00";"0,00";"0,01"
"Espírito Santo";"25 a 29 anos";"1,72";"1,76";"1,38";"1,59";"0,02";"0,04";"0,03";"0,03";"0,00";"0,00";"0,17";"0,19";"0,81";"0,61";"0,00";"0,00";"0,00";"0,00"
"Espírito Santo";"30 a 39 anos";"3,94";"4,01";"3,04";"3,65";"0,06";"0,09";"0,05";"0,06";"0,00";"0,00";"0,37";"0,41";"1,36";"1,04";"0,00";"0,00";"0,01";"0,01"
"Espírito Santo";"40 a 49 anos";"4,01";"4,08";"2,88";"3,48";"0,06";"0,10";"0,03";"0,04";"0,00";"0,00";"0,32";"0,37";"1,08";"0,77";"0,01";"0,00";"0,01";"0,01"
"Espírito Santo";"50 a 59 anos";"3,61";"3,76";"2,14";"2,73";"0,05";"0,09";"0,02";"0,03";"0,00";"0,00";"0,20";"0,24";"0,68";"0,44";"0,00";"0,00";"0,01";"0,01"
"Espírito Santo";"60 a 69 anos";"3,08";"3,28";"1,39";"1,99";"0,05";"0,08";"0,01";"0,01";"0,00";"0,00";"0,12";"0,17";"0,42";"0,23";"0,00";"0,00";"0,00";"0,00"
"Espírito Santo";"70 a 79 anos";"1,57";"1,84";"0,61";"0,95";"0,03";"0,03";"0,00";"0,01";"0,00";"-";"0,07";"0,07";"0,16";"0,08";"-";"-";"0,00";"0,00"
"Espírito Santo";"80 anos ou mais";"0,67";"1,03";"0,25";"0,47";"0,01";"0,02";"0,00";"0,00";"-";"0,00";"0,02";"0,05";"0,06";"0,04";"0,00";"0,00";"0,00";"0,00"
"Rio de Janeiro";"15 a 19 anos";"1,17";"1,11";"1,23";"1,24";"0,07";"0,09";"0,08";"0,10";"0,00";"0,00";"0,21";"0,20";"0,85";"0,76";"0,00";"0,00";"0,01";"0,01"
"Rio de Janeiro";"20 a 24 anos";"1,30";"1,25";"1,23";"1,36";"0,09";"0,11";"0,10";"0,15";"0,00";"0,00";"0,24";"0,24";"1,08";"0,95";"0,00";"0,00";"0,01";"0,01"
"Rio de Janeiro";"25 a 29 anos";"1,22";"1,31";"1,21";"1,47";"0,09";"0,12";"0,12";"0,15";"0,00";"0,00";"0,23";"0,26";"1,07";"0,92";"0,00";"0,00";"0,01";"0,01"
"Rio de Janeiro";"30 a 39 anos";"2,72";"2,98";"2,47";"3,12";"0,22";"0,31";"0,24";"0,31";"0,00";"0,00";"0,48";"0,55";"1,81";"1,52";"0,01";"0,01";"0,01";"0,01"
"Rio de Janeiro";"40 a 49 anos";"3,03";"3,30";"2,53";"3,22";"0,24";"0,41";"0,21";"0,28";"0,00";"0,00";"0,45";"0,55";"1,48";"1,17";"0,00";"0,00";"0,01";"0,01"
"Rio de Janeiro";"50 a 59 anos";"2,93";"3,30";"1,97";"2,70";"0,23";"0,39";"0,14";"0,21";"0,00";"0,00";"0,37";"0,50";"1,08";"0,78";"0,00";"0,00";"0,01";"0,01"
"Rio de Janeiro";"60 a 69 anos";"2,67";"3,15";"1,26";"2,05";"0,21";"0,37";"0,10";"0,15";"0,00";"0,00";"0,27";"0,42";"0,74";"0,53";"0,00";"0,00";"0,01";"0,01"
"Rio de Janeiro";"70 a 79 anos";"1,50";"2,01";"0,59";"1,09";"0,10";"0,20";"0,04";"0,06";"0,00";"0,00";"0,13";"0,22";"0,33";"0,24";"0,00";"0,00";"0,00";"0,00"
"Rio de Janeiro";"80 anos ou mais";"0,61";"1,22";"0,23";"0,49";"0,04";"0,10";"0,01";"0,03";"0,00";"0,00";"0,05";"0,10";"0,10";"0,11";"0,00";"0,00";"0,00";"0,00"
"São Paulo";"15 a 19 anos";"1,74";"1,61";"1,09";"1,12";"0,07";"0,07";"0,05";"0,07";"0,00";"0,00";"0,20";"0,19";"0,56";"0,49";"0,00";"0,00";"0,01";"0,01"
"São Paulo";"20 a 24 anos";"1,91";"1,79";"1,14";"1,22";"0,07";"0,08";"0,07";"0,09";"0,00";"0,00";"0,22";"0,23";"0,73";"0,60";"0,00";"0,00";"0,01";"0,01"
"São Paulo";"25 a 29 anos";"1,93";"1,89";"1,14";"1,28";"0,07";"0,10";"0,08";"0,09";"0,00";"0,00";"0,24";"0,25";"0,75";"0,59";"0,00";"0,00";"0,01";"0,01"
"São Paulo";"30 a 39 anos";"4,26";"4,36";"2,37";"2,79";"0,19";"0,28";"0,14";"0,19";"0,00";"0,00";"0,49";"0,54";"1,29";"0,99";"0,01";"0,00";"0,01";"0,01"
"São Paulo";"40 a 49 anos";"4,36";"4,52";"2,19";"2,72";"0,22";"0,36";"0,12";"0,17";"0,00";"0,00";"0,45";"0,53";"0,91";"0,70";"0,00";"0,00";"0,01";"0,01"
"São Paulo";"50 a 59 anos";"3,87";"4,13";"1,60";"2,16";"0,20";"0,34";"0,07";"0,10";"0,00";"0,00";"0,33";"0,42";"0,59";"0,43";"0,00";"0,00";"0,01";"0,01"
"São Paulo";"60 a 69 anos";"3,16";"3,60";"0,97";"1,53";"0,16";"0,27";"0,04";"0,05";"0,00";"0,00";"0,21";"0,31";"0,36";"0,25";"0,00";"0,00";"0,01";"0,01"
"São Paulo";"70 a 79 anos";"1,74";"2,21";"0,46";"0,77";"0,07";"0,13";"0,01";"0,02";"0,00";"0,00";"0,10";"0,17";"0,16";"0,11";"0,00";"0,00";"0,00";"0,00"
"São Paulo";"80 anos ou mais";"0,71";"1,23";"0,17";"0,32";"0,03";"0,06";"0,00";"0,01";"0,00";"0,00";"0,04";"0,08";"0,05";"0,05";"0,00";"0,00";"0,00";"0,00"
"Paraná";"15 a 19 anos";"2,29";"2,18";"1,07";"1,08";"0,02";"0,03";"0,02";"0,03";"0,00";"0,00";"0,13";"0,12";"0,32";"0,29";"0,00";"0,00";"0,00";"0,00"
"Paraná";"20 a 24 anos";"2,46";"2,40";"1,10";"1,18";"0,02";"0,03";"0,03";"0,04";"0,00";"0,00";"0,15";"0,14";"0,48";"0,40";"0,01";"0,00";"0,01";"0,00"
"Paraná";"25 a 29 anos";"2,55";"2,57";"1,11";"1,26";"0,03";"0,04";"0,03";"0,04";"0,00";"0,00";"0,15";"0,16";"0,52";"0,37";"0,01";"0,00";"0,01";"0,00"
"Paraná";"30 a 39 anos";"5,12";"5,26";"2,22";"2,55";"0,08";"0,11";"0,06";"0,07";"0,00";"0,00";"0,31";"0,33";"0,75";"0,55";"0,02";"0,00";"0,02";"0,01"
"Paraná";"40 a 49 anos";"5,11";"5,25";"2,02";"2,41";"0,08";"0,13";"0,04";"0,06";"0,00";"0,00";"0,27";"0,29";"0,51";"0,36";"0,01";"0,00";"0,01";"0,01"
"Paraná";"50 a 59 anos";"4,76";"5,04";"1,56";"2,03";"0,07";"0,11";"0,02";"0,03";"0,00";"0,00";"0,19";"0,24";"0,33";"0,22";"0,00";"0,00";"0,01";"0,01"
"Paraná";"60 a 69 anos";"3,55";"3,97";"1,01";"1,44";"0,06";"0,09";"0,01";"0,02";"0,00";"0,00";"0,12";"0,16";"0,18";"0,11";"0,00";"0,00";"0,00";"0,00"
"Paraná";"70 a 79 anos";"1,90";"2,29";"0,50";"0,73";"0,02";"0,04";"0,01";"0,01";"0,00";"0,00";"0,05";"0,08";"0,08";"0,05";"0,00";"0,00";"0,00";"0,00"
"Paraná";"80 anos ou mais";"0,75";"1,11";"0,19";"0,31";"0,01";"0,02";"0,00";"0,00";"0,00";"0,00";"0,02";"0,04";"0,03";"0,02";"0,00";"0,00";"0,00";"0,00"
"Santa Catarina";"15 a 19 anos";"2,23";"2,11";"0,96";"0,94";"0,04";"0,05";"0,03";"0,04";"0,00";"0,00";"0,13";"0,13";"0,30";"0,27";"0,00";"0,00";"0,00";"0,00"
