"Tabela 8476 - Pessoas de 18 anos ou mais de idade com excesso de peso ou obesidade, por sexo e situação do domicílio"
"Variável - Pessoas de 18 anos ou mais de idade com excesso de peso (Mil pessoas)"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Ano x Sexo"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"2013"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Homens";"Mulheres"
"Rio Grande do Sul";"Total";"7,3";"7,1"
"Mato Grosso do Sul";"Total";"9,3";"6,3"
"Mato Grosso";"Total";"7,6";"7,3"
"Goiás";"Total";"8,3";"5,4"
"Distrito Federal";"Total";"9,0";"6,9"
"Fonte: IBGE - Pesquisa Nacional de Saúde"

"Tabela 8476 - Pessoas de 18 anos ou mais de idade com excesso de peso ou obesidade, por sexo e situação do domicílio"
"Variável - Percentual de pessoas de 18 anos ou mais de idade com obesidade (%)"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Ano x Sexo"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"2013"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Homens";"Mulheres"
"Brasil";"Total";"16,8";"24,4"
"Norte";"Total";"14,8";"20,2"
"Nordeste";"Total";"13,9";"21,6"
"Sudeste";"Total";"17,4";"26,1"
"Sul";"Total";"20,0";"26,3"
"Centro-Oeste";"Total";"19,1";"24,8"
"Rondônia";"Total";"15,6";"23,8"
"Acre";"Total";"15,2";"21,7"
"Amazonas";"Total";"20,3";"23,1"
"Roraima";"Total";"18,6";"21,3"
"Pará";"Total";"11,9";"18,0"
"Amapá";"Total";"16,7";"22,7"
"Tocantins";"Total";"14,7";"19,3"
"Maranhão";"Total";"8,7";"18,4"
"Piauí";"Total";"12,1";"17,7"
"Ceará";"Total";"15,5";"21,0"
"Rio Grande do Norte";"Total";"16,6";"25,3"
"Paraíba";"Total";"12,7";"21,5"
"Pernambuco";"Total";"16,2";"23,6"
"Alagoas";"Total";"14,8";"26,2"
"Sergipe";"Total";"15,9";"24,3"
"Bahia";"Total";"13,3";"20,5"
"Minas Gerais";"Total";"12,9";"21,2"
"Espírito Santo";"Total";"12,8";"22,1"
"Rio de Janeiro";"Total";"19,1";"26,3"
"São Paulo";"Total";"19,3";"28,7"
"Paraná";"Total";"18,5";"24,2"
"Santa Catarina";"Total";"21,6";"29,7"
"Rio Grande do Sul";"Total";"20,2";"26,3"
"Mato Grosso do Sul";"Total";"20,9";"27,2"
"Mato Grosso";"Total";"23,7";"25,6"
"Goiás";"Total";"16,7";"25,2"
"Distrito Federal";"Total";"17,8";"21,3"
"Fonte: IBGE - Pesquisa Nacional de Saúde"

"Tabela 8476 - Pessoas de 18 anos ou mais de idade com excesso de peso ou obesidade, por sexo e situação do domicílio"
"Variável - Percentual de pessoas de 18 anos ou mais de idade com obesidade, considerando um intervalo de confiança de 95% - limite inferior (%)"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Ano x Sexo"
