"Tabela 2657 - Estimativas populacionais das medianas de altura e peso de crianças, adolescentes e adultos, por sexo e idade - Unidades da Federação"
"Variável - População (Pessoas)"
"Unidade da Federação";"Idade";"Ano x Sexo"
"Unidade da Federação";"Idade";"2002";;"2008"
"Unidade da Federação";"Idade";"Masculino";"Feminino";"Masculino";"Feminino"
"Tocantins";"19 anos";"168,0";"158,7";"170,1";"160,1"
"Tocantins";"20 a 24 anos";"...";"...";"172,7";"158,8"
"Tocantins";"25 a 29 anos";"...";"...";"171,5";"159,4"
"Tocantins";"30 a 34 anos";"...";"...";"170,1";"158,1"
"Tocantins";"35 a 44 anos";"...";"...";"167,5";"156,2"
"Tocantins";"45 a 54 anos";"...";"...";"167,9";"154,1"
"Tocantins";"55 a 64 anos";"...";"...";"164,0";"152,4"
"Tocantins";"65 a 74 anos";"...";"...";"163,3";"152,7"
"Tocantins";"75 anos ou mais";"...";"...";"162,3";"146,3"
"Maranhão";"18 anos";"166,8";"156,3";"169,1";"157,0"
"Maranhão";"19 anos";"165,9";"155,7";"169,0";"157,1"
"Maranhão";"20 a 24 anos";"...";"...";"169,9";"157,4"
"Maranhão";"25 a 29 anos";"...";"...";"167,9";"157,0"
"Maranhão";"30 a 34 anos";"...";"...";"167,9";"156,5"
"Maranhão";"35 a 44 anos";"...";"...";"167,0";"156,0"
"Maranhão";"45 a 54 anos";"...";"...";"166,0";"154,5"
"Maranhão";"55 a 64 anos";"...";"...";"164,8";"153,5"
"Maranhão";"65 a 74 anos";"...";"...";"161,9";"152,7"
"Maranhão";"75 anos ou mais";"...";"...";"162,6";"150,9"
"Piauí";"18 anos";"169,0";"155,5";"166,8";"156,3"
"Piauí";"19 anos";"168,5";"154,5";"168,0";"158,4"
"Piauí";"20 a 24 anos";"...";"...";"168,6";"156,7"
"Piauí";"25 a 29 anos";"...";"...";"168,2";"155,4"
"Piauí";"30 a 34 anos";"...";"...";"166,9";"155,0"
"Piauí";"35 a 44 anos";"...";"...";"166,2";"154,3"
"Piauí";"45 a 54 anos";"...";"...";"164,0";"153,5"
"Piauí";"55 a 64 anos";"...";"...";"161,7";"151,4"
"Piauí";"65 a 74 anos";"...";"...";"162,8";"150,1"
"Piauí";"75 anos ou mais";"...";"...";"159,9";"147,7"
"Ceará";"18 anos";"167,4";"156,6";"170,0";"157,7"
"Ceará";"19 anos";"168,8";"157,3";"169,1";"159,8"
"Ceará";"20 a 24 anos";"...";"...";"170,1";"158,0"
"Ceará";"25 a 29 anos";"...";"...";"168,9";"157,0"
"Ceará";"30 a 34 anos";"...";"...";"169,0";"155,8"
"Ceará";"35 a 44 anos";"...";"...";"166,4";"155,9"
"Ceará";"45 a 54 anos";"...";"...";"165,9";"155,0"
"Ceará";"55 a 64 anos";"...";"...";"164,5";"153,1"
"Ceará";"65 a 74 anos";"...";"...";"163,3";"152,6"
"Ceará";"75 anos ou mais";"...";"...";"161,6";"148,7"
"Rio Grande do Norte";"18 anos";"167,9";"157,6";"173,3";"157,0"
"Rio Grande do Norte";"19 anos";"166,8";"158,4";"170,2";"157,3"
"Rio Grande do Norte";"20 a 24 anos";"...";"...";"170,4";"158,1"
"Rio Grande do Norte";"25 a 29 anos";"...";"...";"170,3";"157,9"
"Rio Grande do Norte";"30 a 34 anos";"...";"...";"167,8";"155,9"
"Rio Grande do Norte";"35 a 44 anos";"...";"...";"166,5";"155,0"
"Rio Grande do Norte";"45 a 54 anos";"...";"...";"165,9";"154,4"
"Rio Grande do Norte";"55 a 64 anos";"...";"...";"163,4";"151,8"
"Rio Grande do Norte";"65 a 74 anos";"...";"...";"163,4";"150,3"
"Rio Grande do Norte";"75 anos ou mais";"...";"...";"161,1";"148,4"
"Paraíba";"18 anos";"170,1";"158,5";"171,3";"158,1"
"Paraíba";"19 anos";"169,1";"158,2";"169,1";"159,7"
"Paraíba";"20 a 24 anos";"...";"...";"171,0";"158,2"
"Paraíba";"25 a 29 anos";"...";"...";"171,0";"158,6"
"Paraíba";"30 a 34 anos";"...";"...";"169,1";"155,6"
"Paraíba";"35 a 44 anos";"...";"...";"168,3";"155,5"
