"Tabela 4179 - Pessoas de 18 anos ou mais de idade fumantes atuais de tabaco, por grupo de idade e situação do domicílio"
"Variável - Percentual de pessoas de 18 anos ou mais de idade fumantes atuais de tabaco (%)"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Ano x Grupo de idade"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"2019"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"18 a 24 anos";"25 a 39 anos";"40 a 59 anos";"60 anos ou mais"
"Minas Gerais";"Rural";"-";"-";"-";"-"
"Espírito Santo";"Total";"13,8";"12,6";"13,7";"11,8"
"Espírito Santo";"Urbana";"-";"-";"-";"-"
"Espírito Santo";"Rural";"-";"-";"-";"-"
"Rio de Janeiro";"Total";"14,1";"15,2";"15,0";"12,8"
"Rio de Janeiro";"Urbana";"-";"-";"-";"-"
"Rio de Janeiro";"Rural";"-";"-";"-";"-"
"São Paulo";"Total";"19,1";"15,9";"18,9";"13,6"
"São Paulo";"Urbana";"-";"-";"-";"-"
"São Paulo";"Rural";"-";"-";"-";"-"
"Paraná";"Total";"19,7";"20,0";"18,5";"14,0"
"Paraná";"Urbana";"-";"-";"-";"-"
"Paraná";"Rural";"-";"-";"-";"-"
"Santa Catarina";"Total";"14,1";"15,9";"17,8";"14,4"
"Santa Catarina";"Urbana";"-";"-";"-";"-"
"Santa Catarina";"Rural";"-";"-";"-";"-"
"Rio Grande do Sul";"Total";"18,4";"19,2";"21,1";"15,7"
"Rio Grande do Sul";"Urbana";"-";"-";"-";"-"
"Rio Grande do Sul";"Rural";"-";"-";"-";"-"
"Mato Grosso do Sul";"Total";"20,2";"18,2";"20,1";"14,1"
"Mato Grosso do Sul";"Urbana";"-";"-";"-";"-"
"Mato Grosso do Sul";"Rural";"-";"-";"-";"-"
"Mato Grosso";"Total";"20,2";"17,6";"18,0";"10,1"
"Mato Grosso";"Urbana";"-";"-";"-";"-"
"Mato Grosso";"Rural";"-";"-";"-";"-"
"Goiás";"Total";"15,7";"15,4";"19,3";"16,7"
"Goiás";"Urbana";"-";"-";"-";"-"
"Goiás";"Rural";"-";"-";"-";"-"
"Distrito Federal";"Total";"16,0";"15,1";"14,6";"12,7"
"Distrito Federal";"Urbana";"-";"-";"-";"-"
"Distrito Federal";"Rural";"-";"-";"-";"-"
"Fonte: IBGE - Pesquisa Nacional de Saúde"

"Tabela 4179 - Pessoas de 18 anos ou mais de idade fumantes atuais de tabaco, por grupo de idade e situação do domicílio"
"Variável - Coeficiente de variação - Percentual de pessoas de 18 anos ou mais de idade fumantes atuais de tabaco (%)"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Ano x Grupo de idade"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"2019"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"18 a 24 anos";"25 a 39 anos";"40 a 59 anos";"60 anos ou mais"
"Brasil";"Total";"5,6";"3,1";"2,4";"3,1"
"Brasil";"Urbana";"6,2";"3,4";"2,7";"3,6"
"Brasil";"Rural";"11,5";"6,7";"4,5";"5,4"
"Norte";"Total";"10,4";"6,5";"5,9";"7,7"
"Norte";"Urbana";"-";"-";"-";"-"
"Norte";"Rural";"-";"-";"-";"-"
"Nordeste";"Total";"8,9";"4,9";"4,5";"4,6"
"Nordeste";"Urbana";"-";"-";"-";"-"
"Nordeste";"Rural";"-";"-";"-";"-"
"Sudeste";"Total";"9,9";"5,8";"4,1";"5,7"
"Sudeste";"Urbana";"-";"-";"-";"-"
"Sudeste";"Rural";"-";"-";"-";"-"
"Sul";"Total";"11,6";"6,5";"4,8";"5,6"
"Sul";"Urbana";"-";"-";"-";"-"
"Sul";"Rural";"-";"-";"-";"-"
"Centro-Oeste";"Total";"10,8";"6,3";"6,1";"8,0"
"Centro-Oeste";"Urbana";"-";"-";"-";"-"
"Centro-Oeste";"Rural";"-";"-";"-";"-"
"Rondônia";"Total";"17,8";"12,9";"11,8";"18,6"
"Rondônia";"Urbana";"-";"-";"-";"-"
"Rondônia";"Rural";"-";"-";"-";"-"
"Acre";"Total";"15,6";"13,3";"10,1";"12,2"
"Acre";"Urbana";"-";"-";"-";"-"
"Acre";"Rural";"-";"-";"-";"-"
"Amazonas";"Total";"18,7";"10,7";"10,5";"14,7"
"Amazonas";"Urbana";"-";"-";"-";"-"
"Amazonas";"Rural";"-";"-";"-";"-"
"Roraima";"Total";"22,0";"11,2";"12,5";"18,8"
"Roraima";"Urbana";"-";"-";"-";"-"
"Roraima";"Rural";"-";"-";"-";"-"
"Pará";"Total";"22,6";"12,0";"11,6";"14,3"
"Pará";"Urbana";"-";"-";"-";"-"
"Pará";"Rural";"-";"-";"-";"-"
"Amapá";"Total";"17,8";"22,5";"14,1";"19,2"
"Amapá";"Urbana";"-";"-";"-";"-"
"Amapá";"Rural";"-";"-";"-";"-"
"Tocantins";"Total";"27,2";"14,5";"13,6";"14,8"
"Tocantins";"Urbana";"-";"-";"-";"-"
"Tocantins";"Rural";"-";"-";"-";"-"
"Maranhão";"Total";"16,8";"8,8";"7,8";"10,2"
"Maranhão";"Urbana";"-";"-";"-";"-"
"Maranhão";"Rural";"-";"-";"-";"-"
"Piauí";"Total";"29,8";"13,3";"11,6";"11,2"
"Piauí";"Urbana";"-";"-";"-";"-"
"Piauí";"Rural";"-";"-";"-";"-"
"Ceará";"Total";"24,0";"10,4";"7,6";"8,8"
"Ceará";"Urbana";"-";"-";"-";"-"
"Ceará";"Rural";"-";"-";"-";"-"
"Rio Grande do Norte";"Total";"26,9";"16,9";"9,7";"13,0"
"Rio Grande do Norte";"Urbana";"-";"-";"-";"-"
"Rio Grande do Norte";"Rural";"-";"-";"-";"-"
"Paraíba";"Total";"22,2";"13,8";"9,8";"12,7"
"Paraíba";"Urbana";"-";"-";"-";"-"
"Paraíba";"Rural";"-";"-";"-";"-"
"Pernambuco";"Total";"16,9";"11,9";"12,0";"10,7"
